Business Name,Address,Category,Google Maps Link,Website,Rating,Reviews,Phone
Medical Park Premier,"Behind Air Forces Hospital, Southern, رقم 90",مركز طبي,https://www.google.com/maps/place/Medical+Park+Premier/data=!4m7!3m6!1s0x14583d9b41a497e9:0x69614c31e2fb6712!8m2!3d30.0189286!4d31.4348388!16s%2Fg%2F11y5v_m3xc!19sChIJ6ZekQZs9WBQREmf74jFMYWk?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Medical+Park+Premier/data=!4m7!3m6!1s0x14583d9b41a497e9:0x69614c31e2fb6712!8m2!3d30.0189286!4d31.4348388!16s%2Fg%2F11y5v_m3xc!19sChIJ6ZekQZs9WBQREmf74jFMYWk?authuser=0&hl=ar&rclk=1,5.0,2.0,010 00476104
مركز عين العالم لطب وجراحة العيون,012 05566002,مركز عناية بالعيون,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B9%D9%8A%D9%86+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85+%D9%84%D8%B7%D8%A8+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D9%8A%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14584151eab30e23:0x9cdf968ed45da6ad!8m2!3d30.0475!4d31.2464!16s%2Fg%2F11csqf69s3!19sChIJIw6z6lFBWBQRraZd1I6W35w?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B9%D9%8A%D9%86+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85+%D9%84%D8%B7%D8%A8+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D9%8A%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14584151eab30e23:0x9cdf968ed45da6ad!8m2!3d30.0475!4d31.2464!16s%2Fg%2F11csqf69s3!19sChIJIw6z6lFBWBQRraZd1I6W35w?authuser=0&hl=ar&rclk=1,4.6,135.0,012 05566002
عيادة أ.د أشرف أبوالفتوح لجراحة التجميل,"Elite Medical tower, 2 زهراء المعادي",عيادة طبية,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A3.%D8%AF+%D8%A3%D8%B4%D8%B1%D9%81+%D8%A3%D8%A8%D9%88%D8%A7%D9%84%D9%81%D8%AA%D9%88%D8%AD+%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x145838118fd411d3:0x3f2c53e2de2684f8!8m2!3d29.9612649!4d31.2888848!16s%2Fg%2F1pyd1z449!19sChIJ0xHUjxE4WBQR-IQm3uJTLD8?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A3.%D8%AF+%D8%A3%D8%B4%D8%B1%D9%81+%D8%A3%D8%A8%D9%88%D8%A7%D9%84%D9%81%D8%AA%D9%88%D8%AD+%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x145838118fd411d3:0x3f2c53e2de2684f8!8m2!3d29.9612649!4d31.2888848!16s%2Fg%2F1pyd1z449!19sChIJ0xHUjxE4WBQR-IQm3uJTLD8?authuser=0&hl=ar&rclk=1,4.9,237.0,012 81228352
Prof Dr. Mohamed Mahmoud Ahmed Dental clinic - New Cairo. الأستاذ الدكتور محمد محمود أحمد,"Behind Air Force Hospital, Clinic 106 Cairo Medical Center CMC, التسعين الشمالي",طبيب تجميل أسنان,https://www.google.com/maps/place/Prof+Dr.+Mohamed+Mahmoud+Ahmed+Dental+clinic+-+New+Cairo.+%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D9%85%D8%AD%D9%85%D9%88%D8%AF+%D8%A3%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14583da616cac911:0x138ae26e19d83eda!8m2!3d30.0207827!4d31.4342118!16s%2Fg%2F11sn3s6d47!19sChIJEcnKFqY9WBQR2j7YGW7iihM?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Prof+Dr.+Mohamed+Mahmoud+Ahmed+Dental+clinic+-+New+Cairo.+%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D9%85%D8%AD%D9%85%D9%88%D8%AF+%D8%A3%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14583da616cac911:0x138ae26e19d83eda!8m2!3d30.0207827!4d31.4342118!16s%2Fg%2F11sn3s6d47!19sChIJEcnKFqY9WBQR2j7YGW7iihM?authuser=0&hl=ar&rclk=1,4.9,246.0,010 12427447
Barsoum Dental Clinic,"Intersection of 26 July Street With Emad El-Deen, Downtown Cairo, 7 26 July St",عِيادة أسنان,https://www.google.com/maps/place/Barsoum+Dental+Clinic/data=!4m7!3m6!1s0x145840e0fd3394a3:0xd65f2e25eaeeff90!8m2!3d30.052678!4d31.244583!16s%2Fg%2F1tr6chgz!19sChIJo5Qz_eBAWBQRkP_u6iUuX9Y?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Barsoum+Dental+Clinic/data=!4m7!3m6!1s0x145840e0fd3394a3:0xd65f2e25eaeeff90!8m2!3d30.052678!4d31.244583!16s%2Fg%2F1tr6chgz!19sChIJo5Qz_eBAWBQRkP_u6iUuX9Y?authuser=0&hl=ar&rclk=1,4.6,73.0,012 21010257
Moawad Skin Institute (MSI) - Best Cosmetic Surgery in Egypt,3 Talaat Harb Square,عيادة جراحة التجميل,https://www.google.com/maps/place/Moawad+Skin+Institute+%28MSI%29+-+Best+Cosmetic+Surgery+in+Egypt/data=!4m7!3m6!1s0x145840c7442b928f:0x73efe6498c762fa3!8m2!3d30.0472493!4d31.2386183!16s%2Fg%2F1tj2qn5f!19sChIJj5IrRMdAWBQRoy92jEnm73M?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Moawad+Skin+Institute+%28MSI%29+-+Best+Cosmetic+Surgery+in+Egypt/data=!4m7!3m6!1s0x145840c7442b928f:0x73efe6498c762fa3!8m2!3d30.0472493!4d31.2386183!16s%2Fg%2F1tj2qn5f!19sChIJj5IrRMdAWBQRoy92jEnm73M?authuser=0&hl=ar&rclk=1,4.7,25.0,02 23901616
Doctor Online,010 96906515,عيادة طبية,https://www.google.com/maps/place/Doctor+Online/data=!4m7!3m6!1s0x145841d0849f8809:0x9de8d8927efd3f1f!8m2!3d30.0702528!4d31.2217517!16s%2Fg%2F11qfw2b6tf!19sChIJCYifhNBBWBQRHz_9fpLY6J0?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Doctor+Online/data=!4m7!3m6!1s0x145841d0849f8809:0x9de8d8927efd3f1f!8m2!3d30.0702528!4d31.2217517!16s%2Fg%2F11qfw2b6tf!19sChIJCYifhNBBWBQRHz_9fpLY6J0?authuser=0&hl=ar&rclk=1,5.0,2.0,010 96906515
عيادة الاستشاريين التخصصية بالرحاب,02 26922291,طبيب باطنه,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A%D9%8A%D9%86+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%D8%A9+%D8%A8%D8%A7%D9%84%D8%B1%D8%AD%D8%A7%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x145823c7353cba85:0x72556d197217a7ac!8m2!3d30.0597617!4d31.4920565!16s%2Fg%2F11fd7956h5!19sChIJhbo8NccjWBQRrKcXchltVXI?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A%D9%8A%D9%86+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%D8%A9+%D8%A8%D8%A7%D9%84%D8%B1%D8%AD%D8%A7%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x145823c7353cba85:0x72556d197217a7ac!8m2!3d30.0597617!4d31.4920565!16s%2Fg%2F11fd7956h5!19sChIJhbo8NccjWBQRrKcXchltVXI?authuser=0&hl=ar&rclk=1,3.7,6.0,02 26922291
Sennaty dental clinics,011 00091281,عِيادة أسنان,https://www.google.com/maps/place/Sennaty+dental+clinics/data=!4m7!3m6!1s0x145840e0e2608523:0x584927fa1346d2c7!8m2!3d30.0651807!4d31.2166491!16s%2Fg%2F11f2wmkxqh!19sChIJI4Vg4uBAWBQRx9JGE_onSVg?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Sennaty+dental+clinics/data=!4m7!3m6!1s0x145840e0e2608523:0x584927fa1346d2c7!8m2!3d30.0651807!4d31.2166491!16s%2Fg%2F11f2wmkxqh!19sChIJI4Vg4uBAWBQRx9JGE_onSVg?authuser=0&hl=ar&rclk=1,4.7,88.0,011 00091281
Dr.Fouda Dental Care - مركز فودة لطب الأسنان,010 22442233,عِيادة أسنان,https://www.google.com/maps/place/Dr.Fouda+Dental+Care+-+%D9%85%D8%B1%D9%83%D8%B2+%D9%81%D9%88%D8%AF%D8%A9+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14583f0a16808dad:0x31517524314a493!8m2!3d30.0912151!4d31.3242806!16s%2Fg%2F11pcl0q2nl!19sChIJrY2AFgo_WBQRk6QUQ1IXFQM?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Dr.Fouda+Dental+Care+-+%D9%85%D8%B1%D9%83%D8%B2+%D9%81%D9%88%D8%AF%D8%A9+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14583f0a16808dad:0x31517524314a493!8m2!3d30.0912151!4d31.3242806!16s%2Fg%2F11pcl0q2nl!19sChIJrY2AFgo_WBQRk6QUQ1IXFQM?authuser=0&hl=ar&rclk=1,5.0,22.0,010 22442233
A Clinics,010 30101585,عِيادة أسنان,https://www.google.com/maps/place/A+Clinics/data=!4m7!3m6!1s0x14583ffa9cb08d31:0xd81a307f1f943ac9!8m2!3d30.0875564!4d31.3463059!16s%2Fg%2F11jgdhr5h_!19sChIJMY2wnPo_WBQRyTqUH38wGtg?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/A+Clinics/data=!4m7!3m6!1s0x14583ffa9cb08d31:0xd81a307f1f943ac9!8m2!3d30.0875564!4d31.3463059!16s%2Fg%2F11jgdhr5h_!19sChIJMY2wnPo_WBQRyTqUH38wGtg?authuser=0&hl=ar&rclk=1,4.7,43.0,010 30101585
Spectra Cure Clinic,"Clinic 403, Cairo Business Plaza, North Teseen Street, Fifth Settlement, North Building",عيادة طبية,https://www.google.com/maps/place/Spectra+Cure+Clinic/data=!4m7!3m6!1s0x145823ee2f1a5be1:0xf53fb4d22af82f8e!8m2!3d30.0279485!4d31.487569!16s%2Fg%2F11y46fnmnl!19sChIJ4VsaL-4jWBQRji_4KtK0P_U?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Spectra+Cure+Clinic/data=!4m7!3m6!1s0x145823ee2f1a5be1:0xf53fb4d22af82f8e!8m2!3d30.0279485!4d31.487569!16s%2Fg%2F11y46fnmnl!19sChIJ4VsaL-4jWBQRji_4KtK0P_U?authuser=0&hl=ar&rclk=1,5.0,16.0,010 15808250
Nouvel Age Aesthetic Clinic Cairo Festival City Mall - عيادات نوفيلاج للتجميل كايرو فستيفال سيتى مول,"Mall Shop, No.1-08",عيادة للعناية بالبشرة,https://www.google.com/maps/place/Nouvel+Age+Aesthetic+Clinic+Cairo+Festival+City+Mall+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D9%86%D9%88%D9%81%D9%8A%D9%84%D8%A7%D8%AC+%D9%84%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D9%83%D8%A7%D9%8A%D8%B1%D9%88+%D9%81%D8%B3%D8%AA%D9%8A%D9%81%D8%A7%D9%84+%D8%B3%D9%8A%D8%AA%D9%89+%D9%85%D9%88%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14583d2c7f215313:0xa1d99a6b1c837575!8m2!3d30.0292823!4d31.4075928!16s%2Fg%2F11qg4mcdfj!19sChIJE1Mhfyw9WBQRdXWDHGua2aE?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Nouvel+Age+Aesthetic+Clinic+Cairo+Festival+City+Mall+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D9%86%D9%88%D9%81%D9%8A%D9%84%D8%A7%D8%AC+%D9%84%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D9%83%D8%A7%D9%8A%D8%B1%D9%88+%D9%81%D8%B3%D8%AA%D9%8A%D9%81%D8%A7%D9%84+%D8%B3%D9%8A%D8%AA%D9%89+%D9%85%D9%88%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14583d2c7f215313:0xa1d99a6b1c837575!8m2!3d30.0292823!4d31.4075928!16s%2Fg%2F11qg4mcdfj!19sChIJE1Mhfyw9WBQRdXWDHGua2aE?authuser=0&hl=ar&rclk=1,4.8,359.0,010 00323176
دكتور محمد ماهر,"Al Manial, 97",طبيب نسائي,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D9%85%D8%A7%D9%87%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x145847e33c9b80bf:0x9544f9bce9745642!8m2!3d30.0240728!4d31.226132!16s%2Fg%2F11hdfs46bg!19sChIJv4CbPONHWBQRQlZ06bz5RJU?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D9%85%D8%A7%D9%87%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x145847e33c9b80bf:0x9544f9bce9745642!8m2!3d30.0240728!4d31.226132!16s%2Fg%2F11hdfs46bg!19sChIJv4CbPONHWBQRQlZ06bz5RJU?authuser=0&hl=ar&rclk=1,4.9,221.0,010 11245500
Cairo Plastic Clinic,012 21119853,عيادة جراحة التجميل,https://www.google.com/maps/place/Cairo+Plastic+Clinic/data=!4m7!3m6!1s0x145846d350547531:0xf264efecdf546e7b!8m2!3d30.0395425!4d31.2107873!16s%2Fg%2F1yf_9m9j9!19sChIJMXVUUNNGWBQRe25U3-zvZPI?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Cairo+Plastic+Clinic/data=!4m7!3m6!1s0x145846d350547531:0xf264efecdf546e7b!8m2!3d30.0395425!4d31.2107873!16s%2Fg%2F1yf_9m9j9!19sChIJMXVUUNNGWBQRe25U3-zvZPI?authuser=0&hl=ar&rclk=1,4.6,108.0,012 21119853
Dr. Israa Dental Center - Mivida new cairo,Mivida Business Park,عِيادة أسنان,https://www.google.com/maps/place/Dr.+Israa+Dental+Center+-+Mivida+new+cairo/data=!4m7!3m6!1s0x145823bae0d1c85f:0x24ed558f4eb7c5cf!8m2!3d30.0015899!4d31.5329231!16s%2Fg%2F11lw38b800!19sChIJX8jR4LojWBQRz8W3To9V7SQ?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Dr.+Israa+Dental+Center+-+Mivida+new+cairo/data=!4m7!3m6!1s0x145823bae0d1c85f:0x24ed558f4eb7c5cf!8m2!3d30.0015899!4d31.5329231!16s%2Fg%2F11lw38b800!19sChIJX8jR4LojWBQRz8W3To9V7SQ?authuser=0&hl=ar&rclk=1,5.0,10.0,012 00502444
Best Life Clinic,011 19255539,ممارس عام,https://www.google.com/maps/place/Best+Life+Clinic/data=!4m7!3m6!1s0x14583f027d560765:0xb999c3686123d287!8m2!3d30.0827736!4d31.2819697!16s%2Fg%2F11krxbtgfw!19sChIJZQdWfQI_WBQRh9IjYWjDmbk?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Best+Life+Clinic/data=!4m7!3m6!1s0x14583f027d560765:0xb999c3686123d287!8m2!3d30.0827736!4d31.2819697!16s%2Fg%2F11krxbtgfw!19sChIJZQdWfQI_WBQRh9IjYWjDmbk?authuser=0&hl=ar&rclk=1,5.0,1.0,011 19255539
Oasis Clinics,010 02665999,عيادة طبية,https://www.google.com/maps/place/Oasis+Clinics/data=!4m7!3m6!1s0x145825dfb43a8651:0xa6692c517874a2b9!8m2!3d29.952789!4d31.4494211!16s%2Fg%2F11kpn9nfhj!19sChIJUYY6tN8lWBQRuaJ0eFEsaaY?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Oasis+Clinics/data=!4m7!3m6!1s0x145825dfb43a8651:0xa6692c517874a2b9!8m2!3d29.952789!4d31.4494211!16s%2Fg%2F11kpn9nfhj!19sChIJUYY6tN8lWBQRuaJ0eFEsaaY?authuser=0&hl=ar&rclk=1,4.8,21.0,010 02665999
Cairo Weight Clinic,010 05555140,عيادة طبية,https://www.google.com/maps/place/Cairo+Weight+Clinic/data=!4m7!3m6!1s0x145841903e7e8a59:0x33a3232c08ea36d0!8m2!3d30.0554828!4d31.204457!16s%2Fg%2F11n05rdy38!19sChIJWYp-PpBBWBQR0DbqCCwjozM?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Cairo+Weight+Clinic/data=!4m7!3m6!1s0x145841903e7e8a59:0x33a3232c08ea36d0!8m2!3d30.0554828!4d31.204457!16s%2Fg%2F11n05rdy38!19sChIJWYp-PpBBWBQR0DbqCCwjozM?authuser=0&hl=ar&rclk=1,5.0,1.0,010 05555140
e Concept Aesthetics,"United medical center, New Cairo 1, Cairo Governorate 4731201",عيادة طبية,https://www.google.com/maps/place/e+Concept+Aesthetics/data=!4m7!3m6!1s0x14583df42cf52ae3:0x4d9a48dfdff60ab3!8m2!3d30.029483!4d31.4282674!16s%2Fg%2F11v51d7mpn!19sChIJ4yr1LPQ9WBQRswr2399Imk0?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/e+Concept+Aesthetics/data=!4m7!3m6!1s0x14583df42cf52ae3:0x4d9a48dfdff60ab3!8m2!3d30.029483!4d31.4282674!16s%2Fg%2F11v51d7mpn!19sChIJ4yr1LPQ9WBQRswr2399Imk0?authuser=0&hl=ar&rclk=1,5.0,17.0,011 10555436
Dr.Mohamed Ihab - Royal Wellness Clinics,010 67233233,عِيادة أسنان,https://www.google.com/maps/place/Dr.Mohamed+Ihab+-+Royal+Wellness+Clinics/data=!4m7!3m6!1s0x14583900c725fccb:0xef5b972d8b4b0096!8m2!3d30.0105312!4d31.3042391!16s%2Fg%2F11p5jb4ndt!19sChIJy_wlxwA5WBQRlgBLiy2XW-8?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Dr.Mohamed+Ihab+-+Royal+Wellness+Clinics/data=!4m7!3m6!1s0x14583900c725fccb:0xef5b972d8b4b0096!8m2!3d30.0105312!4d31.3042391!16s%2Fg%2F11p5jb4ndt!19sChIJy_wlxwA5WBQRlgBLiy2XW-8?authuser=0&hl=ar&rclk=1,4.6,35.0,010 67233233
دكتور ماجد رياض,011 28866552,عيادة طب الأنف والأذن والحنجرة,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%A7%D8%AC%D8%AF+%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/data=!4m7!3m6!1s0x145815dbbb354137:0x9d26eeb569c2aa59!8m2!3d30.1149635!4d31.3463602!16s%2Fg%2F11cscc5hdc!19sChIJN0E1u9sVWBQRWarCabXuJp0?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%A7%D8%AC%D8%AF+%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/data=!4m7!3m6!1s0x145815dbbb354137:0x9d26eeb569c2aa59!8m2!3d30.1149635!4d31.3463602!16s%2Fg%2F11cscc5hdc!19sChIJN0E1u9sVWBQRWarCabXuJp0?authuser=0&hl=ar&rclk=1,4.3,27.0,011 28866552
We Care Dental Clinic - New Cairo,012 81333210,عِيادة أسنان,https://www.google.com/maps/place/We+Care+Dental+Clinic+-+New+Cairo/data=!4m7!3m6!1s0x145822c33b8808f1:0xf70bebfbb8251ce2!8m2!3d30.0258854!4d31.4645514!16s%2Fg%2F11gfh07hgk!19sChIJ8QiIO8MiWBQR4hwluPvrC_c?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/We+Care+Dental+Clinic+-+New+Cairo/data=!4m7!3m6!1s0x145822c33b8808f1:0xf70bebfbb8251ce2!8m2!3d30.0258854!4d31.4645514!16s%2Fg%2F11gfh07hgk!19sChIJ8QiIO8MiWBQR4hwluPvrC_c?authuser=0&hl=ar&rclk=1,4.4,116.0,012 81333210
Dental Care By Dr.Amr Saad (New Cairo Branch),"Al Rehab City gate 6 Next to, محور السادات",عِيادة أسنان,https://www.google.com/maps/place/Dental+Care+By+Dr.Amr+Saad+%28New+Cairo+Branch%29/data=!4m7!3m6!1s0x1458195df5f5d2c1:0x9af4f46f6d1393!8m2!3d30.05367!4d31.4921837!16s%2Fg%2F11t4dzp0zp!19sChIJwdL19V0ZWBQRkxNtb_T0mgA?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Dental+Care+By+Dr.Amr+Saad+%28New+Cairo+Branch%29/data=!4m7!3m6!1s0x1458195df5f5d2c1:0x9af4f46f6d1393!8m2!3d30.05367!4d31.4921837!16s%2Fg%2F11t4dzp0zp!19sChIJwdL19V0ZWBQRkxNtb_T0mgA?authuser=0&hl=ar&rclk=1,4.5,33.0,011 46540133
د. جاسر البشرى,02 24189088,عيادة طبية,https://www.google.com/maps/place/%D8%AF.+%D8%AC%D8%A7%D8%B3%D8%B1+%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14583e1cdb90d3a9:0x1926d990d55d0d42!8m2!3d30.0866005!4d31.3420384!16s%2Fg%2F1v2f2p6h!19sChIJqdOQ2xw-WBQRQg1d1ZDZJhk?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D8%AF.+%D8%AC%D8%A7%D8%B3%D8%B1+%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14583e1cdb90d3a9:0x1926d990d55d0d42!8m2!3d30.0866005!4d31.3420384!16s%2Fg%2F1v2f2p6h!19sChIJqdOQ2xw-WBQRQg1d1ZDZJhk?authuser=0&hl=ar&rclk=1,4.8,40.0,02 24189088
Psych Clinics Cairo,011 18758886,طبيب أمراض عقلية,https://www.google.com/maps/place/Psych+Clinics+Cairo/data=!4m7!3m6!1s0x14583f562a612807:0x6bf24a199591a801!8m2!3d30.0672773!4d31.3231382!16s%2Fg%2F11fhz689f0!19sChIJByhhKlY_WBQRAaiRlRlK8ms?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Psych+Clinics+Cairo/data=!4m7!3m6!1s0x14583f562a612807:0x6bf24a199591a801!8m2!3d30.0672773!4d31.3231382!16s%2Fg%2F11fhz689f0!19sChIJByhhKlY_WBQRAaiRlRlK8ms?authuser=0&hl=ar&rclk=1,4.3,16.0,011 18758886
Cairo Neuropsychiatric Clinic أد. عمرو سليمان,3 el lokanda street in front of ettihadeya Palace,طبيب أمراض عقلية,https://www.google.com/maps/place/Cairo+Neuropsychiatric+Clinic+%D8%A3%D8%AF.+%D8%B9%D9%85%D8%B1%D9%88+%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14583e051cd60ddf:0x4516929beaa780bf!8m2!3d30.090775!4d31.318982!16s%2Fg%2F11clyfmgd4!19sChIJ3w3WHAU-WBQRv4Cn6puSFkU?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Cairo+Neuropsychiatric+Clinic+%D8%A3%D8%AF.+%D8%B9%D9%85%D8%B1%D9%88+%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14583e051cd60ddf:0x4516929beaa780bf!8m2!3d30.090775!4d31.318982!16s%2Fg%2F11clyfmgd4!19sChIJ3w3WHAU-WBQRv4Cn6puSFkU?authuser=0&hl=ar&rclk=1,3.0,2.0,011 14479198
Dr Mobasher dental clinic,"Dalia Derma Medical Park Elite, محور السادات",عِيادة أسنان,https://www.google.com/maps/place/Dr+Mobasher+dental+clinic/data=!4m7!3m6!1s0x145819e7bc3f3225:0xd39fdb8244e4ecda!8m2!3d30.05386!4d31.4919361!16s%2Fg%2F11mxhrtx6x!19sChIJJTI_vOcZWBQR2uzkRILbn9M?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Dr+Mobasher+dental+clinic/data=!4m7!3m6!1s0x145819e7bc3f3225:0xd39fdb8244e4ecda!8m2!3d30.05386!4d31.4919361!16s%2Fg%2F11mxhrtx6x!19sChIJJTI_vOcZWBQR2uzkRILbn9M?authuser=0&hl=ar&rclk=1,5.0,208.0,011 18555743
Dr. Wael Darwish,011 11889839,عِيادة أسنان,https://www.google.com/maps/place/Dr.+Wael+Darwish/data=!4m7!3m6!1s0x14583d412b03ba03:0x1ed92463ba5e365f!8m2!3d29.9967348!4d31.4155842!16s%2Fg%2F11q2414mfl!19sChIJA7oDK0E9WBQRXzZeumMk2R4?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Dr.+Wael+Darwish/data=!4m7!3m6!1s0x14583d412b03ba03:0x1ed92463ba5e365f!8m2!3d29.9967348!4d31.4155842!16s%2Fg%2F11q2414mfl!19sChIJA7oDK0E9WBQRXzZeumMk2R4?authuser=0&hl=ar&rclk=1,4.2,26.0,011 11889839
